Alojamiento;Capacidad personas
ALFARO;5
ALMIRANTE 01;4
ALMIRANTE 02;4
APOLO 029;2
APOLO 180;3
APOLO 197;4
BENICALAP 01;4
BENICALAP 02;4
BENICALAP 03;3
BENICALAP 05;4
BENICALAP 06;4
CADIZ;4
CARCAIXENT 01;4
CARCAIXENT 02;4
DENIA 61;4
DOLORES ALCAYDE 01;4
DOLORES ALCAYDE 02;4
DOLORES ALCAYDE 03;4
DOLORES ALCAYDE 04;4
DOLORES ALCAYDE 05;4
DOLORES ALCAYDE 06;4
DR.LLUCH;4
ERUDITO;4
GOZALBO;4
LA ELIANA;5
LLADRO Y MALLI 01;5
LLADRO Y MALLI 02;7
LLADRO Y MALLI 03;5
LLADRO Y MALLI 04;7
LLADRO Y MALLI BAJO A;5
LLADRO Y MALLI BAJO B;4
LUIS MERELO 01;2
LUIS MERELO 02;2
LUIS MERELO 03;4
LUIS MERELO 04;4
LUIS MERELO 05;4
LUIS MERELO 06;4
LUIS MERELO 07;4
LUIS MERELO 08;4
LUIS MERELO 09;4
MARIANO CUBER 01;2
MARIANO CUBER 02;3
MARIANO CUBER 03;2
MARIANO CUBER 04;4
MARIANO CUBER 05;4
OLIVERETA 1;4
OLIVERETA 2;4
OLIVERETA 3;4
OLIVERETA 4;4
OVE 01;4
OVE 02;4
PADRE PORTA 01;4
PADRE PORTA 02;4
PADRE PORTA 03;6
PADRE PORTA 04;3
PADRE PORTA 05;4
PADRE PORTA 06;6
PADRE PORTA 07;6
PADRE PORTA 08;4
PADRE PORTA 09;4
PADRE PORTA 10;4
PASAJE AYF 01;4
PASAJE AYF 02;4
PASAJE AYF 03;4
PINTOR;3
QUART I;4
QUART II;4
RETOR A;4
RETOR B;4
SAN LUIS;6
SERRANOS;4
SERRERIA 01;6
SERRERIA 02;4
SERRERIA 03;4
SERRERIA 04;4
SERRERIA 05;4
SERRERIA 06;4
SERRERIA 07;3
SERRERIA 08;3
SERRERIA 09;4
SERRERIA 10;4
SERRERIA 11;4
SERRERIA 12;4
SERRERIA 13;4
SEVILLA;2
TRAFALGAR 01;4
TRAFALGAR 02;4
TRAFALGAR 03;4
TRAFALGAR 04;2
TRAFALGAR 05;4
TRAFALGAR 06;4
TRAFALGAR 07;4
TUNDIDORES;4
VALLE;4
VISITACION;6
ZAPATEROS 10-2;4
ZAPATEROS 10-6;4
ZAPATEROS 10-8;5
ZAPATEROS 12-5;2
